"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"1","Héron garde-boeufs","BUBIBI",2014,2023,0.288247910893642,0.0524505663600228,0.185444800827997,0.391051020959287,1.33408799807817,1.20375375173082,1.47853394770912,"+1238.6%","+430.7%","+3276.6%",3.89359880250035e-08,"Augmentation forte","Forte augmentation"
"2","Tarin des aulnes","CARSPI",2014,2023,0.165850538189877,0.0592163247288685,0.0497865417212951,0.281914534658459,1.18039666431617,1.05104671780592,1.3256654166975,"+344.9%","+56.5%","+1164.5%",0.00509828877540769,"Augmentation forte","Forte augmentation"
"3","Guêpier d'Europe","MERAPI",2014,2023,0.146556261801735,0.0465996689044368,0.0552209107490387,0.237891612854431,1.15784007115451,1.05677404163639,1.26857168850893,"+274%","+64.4%","+750.8%",0.00166083137418878,"Augmentation forte","Forte augmentation"
"4","Bernache du Canada","BRACAN",2014,2023,0.139563596763464,0.0426475185880206,0.0559744603309432,0.223152733195984,1.14977192516612,1.05757067338669,1.25001147740491,"+251.2%","+65.5%","+645.1%",0.0010660447860991,"Augmentation forte","Forte augmentation"
"5","Perruche à collier","PSIKRA",2014,2023,0.131821305076029,0.0259399386607881,0.0809790253008843,0.182663584851174,1.14090442722066,1.084348152452,1.20041050386658,"+227.5%","+107.3%","+417.6%",3.73895840325731e-07,"Augmentation forte","Forte augmentation"
"6","Cisticole des joncs","CISJUN",2014,2023,0.125346742012925,0.0163135306688029,0.0933722219020717,0.157321262123779,1.13354143136949,1.09787031059826,1.17037154956036,"+209%","+131.7%","+312%",1.54671880577504e-14,"Augmentation forte","Forte augmentation"
"7","Milan royal","MILMIL",2014,2023,0.107670602785796,0.0228889188919808,0.062808321757514,0.152532883814079,1.11368084159451,1.06482271632215,1.16478076389894,"+163.5%","+76%","+294.6%",2.5505162302163e-06,"Augmentation forte","Forte augmentation"
"8","Grande Aigrette","EGRALB",2014,2023,0.0993859766151242,0.0421995370672491,0.016674883963316,0.182097069266932,1.10449252558341,1.01681468581984,1.1997306452021,"+144.6%","+16.2%","+414.9%",0.0185155406988173,"Augmentation modérée à forte","Augmentation modérée"
"9","Cigogne blanche","CICCIC",2014,2023,0.0939245362735894,0.0358790643313041,0.0236015701842335,0.164247502362946,1.09847684763301,1.02388229137833,1.17850596200993,"+132.9%","+23.7%","+338.5%",0.00884963330527095,"Augmentation modérée à forte","Augmentation modérée"
"10","Circaète Jean-le-blanc","CIRGAL",2014,2023,0.0912199959192273,0.0573720246237784,-0.0212291723433783,0.203669164181833,1.09550998647655,0.978994580376976,1.2258925172065,"+127.3%","-17.4%","+525.3%",0.111840789779556,"Incertain","Incertain"
"11","Pigeon colombin","COLOEN",2014,2023,0.0761843742251668,0.0117391642142491,0.0531756123652386,0.099193136085095,1.07916152538605,1.05461483226341,1.10427955519468,"+98.5%","+61.4%","+144.2%",8.59724466499835e-11,"Augmentation forte","Forte augmentation"
"12","Bouscarle de Cetti","CETCET",2014,2023,0.0746893061173525,0.0114731884687435,0.0522018567186154,0.0971767555160899,1.07754931089181,1.05358839494616,1.10205515073347,"+95.9%","+60%","+139.8%",7.52010024582657e-11,"Augmentation forte","Forte augmentation"
"13","Gobemouche noir","FICHYP",2014,2023,0.0746787957534397,0.0271048096956663,0.0215533687499338,0.127804222756946,1.07753798551594,1.02178732039426,1.1363305132635,"+95.8%","+21.4%","+215.9%",0.00586587548693116,"Augmentation modérée à forte","Augmentation modérée"
"14","Alouette lulu","LULARB",2014,2023,0.0738679190431727,0.00603450014232494,0.0620402987642156,0.0856955393221296,1.07666458921527,1.06400522195964,1.08947457563705,"+94.4%","+74.8%","+116.2%",1.8785787609247e-34,"Augmentation forte","Forte augmentation"
"15","Grand Cormoran","PHACAR",2014,2023,0.0694309593170863,0.0246506402649306,0.0211157043978223,0.11774621423635,1.07189805407638,1.02134021835613,1.1249585766651,"+86.8%","+20.9%","+188.6%",0.00485351397317529,"Augmentation modérée à forte","Augmentation modérée"
"16","Grand Corbeau","CORRAX",2014,2023,0.0692225097135438,0.0184022549611157,0.0331540899897571,0.105290929437331,1.071674640638,1.03370981130411,1.11103379577841,"+86.5%","+34.8%","+158%",0.000168808345212451,"Augmentation forte","Augmentation modérée"
"17","Moineau soulcie","PETPET",2014,2023,0.068738930316269,0.0445102710883125,-0.0185012010168235,0.155979061649361,1.07115652614605,0.981668895590225,1.16880173005321,"+85.6%","-15.3%","+307.1%",0.122506322960011,"Incertain","Incertain"
"18","Choucas des tours","CORMON",2014,2023,0.0627222133469457,0.0135197948248634,0.0362234154902135,0.0892210112036779,1.06473103007804,1.03688747733905,1.09332226609615,"+75.9%","+38.5%","+123.2%",3.49612634620638e-06,"Augmentation forte","Augmentation modérée"
"19","Merle à plastron","TURTOR",2014,2023,0.0615426994818135,0.0497006463757647,-0.0358705674146853,0.158955966378312,1.06347590542941,0.964765157450766,1.17228632553162,"+74%","-27.6%","+318.1%",0.215616857912874,"Incertain","Incertain"
"20","Fuligule milouin","AYTFER",2014,2023,0.0603647673898931,0.0525403172669853,-0.0426142544533982,0.163343789233184,1.06222394054099,0.958280971397382,1.17744141179501,"+72.2%","-31.9%","+335%",0.250587823345735,"Incertain","Incertain"
"21","Pigeon biset","COLLIV",2014,2023,0.0591261634780399,0.0141688985044797,0.0313551224092597,0.0868972045468201,1.0609090802766,1.03185187255279,1.09078454626322,"+70.3%","+32.6%","+118.6%",3.00675498070344e-05,"Augmentation forte","Augmentation modérée"
"22","Echasse blanche","HIMHIM",2014,2023,0.0585920831096853,0.0533211507931893,-0.045917372444966,0.163101538664336,1.06034262084511,0.95512087823328,1.1771562104897,"+69.4%","-33.9%","+334%",0.27183238155265,"Incertain","Incertain"
