french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Épervier d'Europe;Épervier d'Europe;2014;2023;0.053897676;0.013771187;0.02690615;0.080889201;1.055376606;1.027271389;1.084250756;62.40%;27.40%;107.10%;9.09E-05;Augmentation modérée à forte;Augmentation modérée;SHOC;autre;Similaire
Épervier d'Europe;Épervier d'Europe;2015;2024;0.054008086;0.009689556;0.035016557;0.072999615;1.055493137;1.035636855;1.075730123;62.60%;37%;92.90%;2.49E-08;Augmentation forte;Augmentation modérée;ODJ;autre;Similaire
Étourneau sansonnet;Étourneau sansonnet;2015;2024;0.027617331;0.003735254;0.020296233;0.034938429;1.028002225;1.020503602;1.035555947;28.20%;20%;37%;1.43E-13;Augmentation modérée;Augmentation modérée;ODJ;odj;Incertain
Étourneau sansonnet;Étourneau sansonnet;2014;2023;0.016977861;0.009389725;-0.001426001;0.035381722;1.017122804;0.998575016;1.036015103;16.50%;-1.30%;37.50%;0.070585988;Incertain;Stable;SHOC;odj;Incertain
Accenteur mouchet;Accenteur mouchet;2015;2024;0.005986284;0.00271643;0.000662081;0.011310488;1.006004238;1.0006623;1.011374693;5.50%;0.60%;10.70%;0.027543195;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Accenteur mouchet;Accenteur mouchet;2014;2023;-0.015608123;0.008681678;-0.032624212;0.001407966;0.984513053;0.967902217;1.001408958;-13.10%;-25.40%;1.30%;0.072205023;Stable;Stable;SHOC;odj;Different
Aigrette garzette;Aigrette garzette;2015;2024;0.000496206;0.045230224;-0.088155032;0.089147445;1.000496329;0.915618915;1.093241837;0.40%;-54.80%;123.10%;0.991246841;Incertain;Incertain;ODJ;autre;Incertain
Aigrette garzette;Aigrette garzette;2014;2023;0.010735864;0.032399414;-0.052766988;0.074238715;1.0107937;0.948601022;1.077063886;10.10%;-37.80%;95.10%;0.740372721;Incertain;Incertain;SHOC;autre;Incertain
Bergeronnette des ruisseaux;Bergeronnette des ruisseaux;2015;2024;0.005371982;0.025638875;-0.044880214;0.055624177;1.005386437;0.956112004;1.057200289;5%;-33.20%;65%;0.83403853;Incertain;Incertain;ODJ;autre;Incertain
Bergeronnette des ruisseaux;Bergeronnette des ruisseaux;2014;2023;0.026852742;0.016144986;-0.004791429;0.058496914;1.027216526;0.995220031;1.060241714;27.30%;-4.20%;69.30%;0.096267421;Incertain;Incertain;SHOC;autre;Incertain
Bergeronnette grise;Bergeronnette grise;2015;2024;0.007345228;0.006131704;-0.004672912;0.019363367;1.00737227;0.995337989;1.019552053;6.80%;-4.10%;19%;0.230952161;Stable;Stable;ODJ;odj;Different
Bergeronnette grise;Bergeronnette grise;2014;2023;0.045819149;0.013958421;0.018460644;0.073177654;1.046885064;1.018632095;1.075921662;51%;18.10%;93.20%;0.001028745;Augmentation modérée à forte;Augmentation modérée;SHOC;odj;Different
Bouvreuil pivoine;Bouvreuil pivoine;2015;2024;-0.036126775;0.008267605;-0.05233128;-0.019922269;0.964518009;0.949014425;0.980274868;-27.80%;-37.60%;-16.40%;1.24E-05;Déclin modéré;Déclin modéré;ODJ;odj;Similaire
Bouvreuil pivoine;Bouvreuil pivoine;2014;2023;-0.078085016;0.015118849;-0.10771796;-0.048452071;0.924885794;0.897880799;0.952703001;-50.50%;-62.10%;-35.30%;2.41E-07;Déclin fort;Déclin modéré;SHOC;odj;Similaire
Bruant des roseaux;Bruant des roseaux;2015;2024;-0.011294248;0.049459296;-0.108234467;0.085645971;0.988769293;0.897417157;1.089420574;-9.70%;-62.20%;116.20%;0.819370733;Incertain;Incertain;ODJ;autre;Incertain
Bruant des roseaux;Bruant des roseaux;2014;2023;-0.009920032;0.02700355;-0.062846989;0.043006925;0.990129009;0.939087153;1.043945125;-8.50%;-43.20%;47.30%;0.713350288;Incertain;Incertain;SHOC;autre;Incertain
Bruant jaune;Bruant jaune;2015;2024;-0.029527854;0.021803626;-0.072262961;0.013207253;0.970903834;0.930286235;1.013294854;-23.30%;-47.80%;12.60%;0.175652343;Incertain;Incertain;ODJ;odj;Incertain
Bruant jaune;Bruant jaune;2014;2023;-0.061364843;0.025698418;-0.111733742;-0.010995943;0.94048005;0.894282336;0.989064291;-42.40%;-63.40%;-9.40%;0.016945687;Déclin modéré à fort;Déclin modéré;SHOC;odj;Incertain
Bruant zizi;Bruant zizi;2015;2024;0.011815651;0.012782431;-0.013237914;0.036869215;1.011885731;0.986849322;1.037557315;11.20%;-11.20%;39.40%;0.355295528;Incertain;Stable;ODJ;odj;Incertain
Bruant zizi;Bruant zizi;2014;2023;0.043227942;0.015398827;0.013046241;0.073409643;1.044175879;1.013131715;1.076171293;47.60%;12.50%;93.60%;0.004997063;Augmentation modérée à forte;Augmentation modérée;SHOC;odj;Incertain
Buse variable;Buse variable;2015;2024;0.041246442;0.01248001;0.016785623;0.065707262;1.042108894;1.016927293;1.067914052;44.90%;16.30%;80.60%;0.000949761;Augmentation modérée à forte;Augmentation modérée;ODJ;autre;Different
Buse variable;Buse variable;2014;2023;-0.007564563;0.005978175;-0.019281786;0.004152659;0.992463976;0.980902919;1.004161293;-6.60%;-15.90%;3.80%;0.205741083;Stable;Stable;SHOC;autre;Different
Canard colvert;Canard colvert;2015;2024;-1.53E-05;0.02891645;-0.056691513;0.056660972;0.99998473;0.944885509;1.058296958;0%;-40%;66.50%;0.99957865;Incertain;Incertain;ODJ;autre;Incertain
Canard colvert;Canard colvert;2014;2023;0.017828681;0.018195713;-0.017834917;0.053492278;1.01798856;0.982323184;1.054948846;17.40%;-14.80%;61.80%;0.327170718;Incertain;Incertain;SHOC;autre;Incertain
Chardonneret élégant;Chardonneret élégant;2015;2024;0.029001988;0.003162592;0.022803308;0.035200668;1.029426641;1.023065291;1.035827546;29.80%;22.80%;37.30%;4.72E-20;Augmentation modérée;Augmentation modérée;ODJ;odj;Incertain
Chardonneret élégant;Chardonneret élégant;2014;2023;0.013201872;0.012124191;-0.010561542;0.036965286;1.013289402;0.989494036;1.037656999;12.60%;-9.10%;39.50%;0.276203776;Incertain;Stable;SHOC;odj;Incertain
Choucas des tours;Choucas des tours;2015;2024;0.061598879;0.009348827;0.043275179;0.07992258;1.063535653;1.044225204;1.083203203;74.10%;47.60%;105.30%;4.43E-11;Augmentation forte;Augmentation modérée;ODJ;odj;Similaire
Choucas des tours;Choucas des tours;2014;2023;0.080874222;0.01937466;0.042899888;0.118848556;1.084234515;1.043833389;1.12619935;107.10%;47.10%;191.40%;2.99E-05;Augmentation forte;Augmentation modérée;SHOC;odj;Similaire
Corbeau freux;Corbeau freux;2015;2024;0.038124173;0.034892202;-0.030264543;0.10651289;1.038860223;0.970188843;1.112392265;40.90%;-23.80%;160.80%;0.274557465;Incertain;Incertain;ODJ;autre;Incertain
Corbeau freux;Corbeau freux;2014;2023;-0.016151106;0.026276731;-0.067653498;0.035351286;0.983978624;0.934584253;1.035983571;-13.50%;-45.60%;37.50%;0.538783037;Incertain;Incertain;SHOC;autre;Incertain
Corneille noire;Corneille noire;2015;2024;0.019589395;0.003070729;0.013570766;0.025608024;1.019782526;1.013663267;1.025938726;19.30%;13%;25.90%;1.78E-10;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Corneille noire;Corneille noire;2014;2023;-0.005657388;0.005252506;-0.0159523;0.004637525;0.994358585;0.984174264;1.004648295;-5%;-13.40%;4.30%;0.281442989;Stable;Stable;SHOC;odj;Different
Faisan de Colchide;Faisan de Colchide;2015;2024;0.011126074;0.020535215;-0.029122947;0.051375095;1.011188199;0.971297039;1.052717688;10.50%;-23.10%;58.80%;0.58795312;Incertain;Incertain;ODJ;autre;Incertain
