french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Ã‰pervier d'Europe;Ã‰pervier d'Europe;2014;2023;0.032101527;0.026908917;-0.020639951;0.084843005;1.032622339;0.979571595;1.088546157;33.50%;-17%;114.60%;0.232881184;Incertain;Incertain;ODJ;odj;Incertain
Ã‰pervier d'Europe;Ã‰pervier d'Europe;2014;2023;0.01653927;0.012197822;-0.007368461;0.040447;1.0166768;0.99265862;1.041276121;16.10%;-6.40%;43.90%;0.175124646;Incertain;Stable;STOC;odj;Incertain
Ã‰tourneau sansonnet;Ã‰tourneau sansonnet;2014;2023;0.036543809;0.006711912;0.023388461;0.049699156;1.037219742;1.023664116;1.050954876;38.90%;23.40%;56.40%;5.19E-08;Augmentation modÃ©rÃ©e Ã  forte;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Ã‰tourneau sansonnet;Ã‰tourneau sansonnet;2014;2023;0.053600154;0.005567733;0.042687397;0.06451291;1.055062655;1.043611608;1.066639349;62%;46.80%;78.70%;6.15E-22;Augmentation forte;Augmentation modérée;STOC;odj;Similaire
Accenteur mouchet;Accenteur mouchet;2014;2023;0.004309388;0.008005004;-0.01138042;0.019999196;1.004318687;0.988684092;1.020200519;4%;-9.70%;19.70%;0.590344577;Stable;Stable;ODJ;odj;Different
Accenteur mouchet;Accenteur mouchet;2014;2023;-0.022409033;0.004735869;-0.031691336;-0.013126729;0.977840184;0.968805571;0.98695905;-18.30%;-24.80%;-11.10%;2.23E-06;Déclin modéré;Déclin modéré;STOC;odj;Different
Bergeronnette grise;Bergeronnette grise;2014;2023;-0.004893922;0.008488843;-0.021532054;0.01174421;0.995118034;0.978698106;1.011813444;-4.30%;-17.60%;11.10%;0.564269006;Stable;Stable;ODJ;odj;Similaire
Bergeronnette grise;Bergeronnette grise;2014;2023;0.004437873;0.004946608;-0.005257479;0.014133225;1.004447735;0.994756317;1.014233571;4.10%;-4.60%;13.60%;0.369636388;Stable;Stable;STOC;odj;Similaire
Bouvreuil pivoine;Bouvreuil pivoine;2014;2023;-0.029770865;0.020974155;-0.070880208;0.011338479;0.970667922;0.931573481;1.011403003;-23.50%;-47.20%;10.70%;0.155780358;Incertain;Incertain;ODJ;odj;Incertain
Bouvreuil pivoine;Bouvreuil pivoine;2014;2023;-0.040832836;0.010366487;-0.06115115;-0.020514522;0.959989593;0.940681045;0.97969447;-30.80%;-42.30%;-16.90%;8.18E-05;Déclin modéré à fort;Déclin modéré;STOC;odj;Incertain
Bruant jaune;Bruant jaune;2014;2023;0.006686494;0.026915961;-0.04606879;0.059441778;1.006708898;0.954976267;1.061243972;6.20%;-33.90%;70.70%;0.803808575;Incertain;Incertain;ODJ;odj;Incertain
Bruant jaune;Bruant jaune;2014;2023;-0.065842521;0.00495848;-0.075561142;-0.056123899;0.936278297;0.927223036;0.945421991;-44.70%;-49.30%;-39.70%;3.07E-40;Déclin fort;Fort déclin;STOC;odj;Incertain
Bruant zizi;Bruant zizi;2014;2023;0.005813033;0.015711472;-0.024981452;0.036607518;1.005829961;0.975328002;1.037285825;5.40%;-20.10%;39%;0.711392525;Incertain;Stable;ODJ;odj;Incertain
Bruant zizi;Bruant zizi;2014;2023;0.019667339;0.005589023;0.008712854;0.030621823;1.019862015;1.008750922;1.031095494;19.40%;8.20%;31.70%;0.000433303;Augmentation modérée;Augmentation modérée;STOC;odj;Incertain
Buse variable;Buse variable;2014;2023;0.012132532;0.020940326;-0.028910506;0.05317557;1.012206429;0.971503404;1.054614787;11.50%;-22.90%;61.40%;0.562328741;Incertain;Incertain;ODJ;autre;Incertain
Buse variable;Buse variable;2014;2023;0.004504212;0.004025325;-0.003385425;0.012393849;1.004514371;0.996620299;1.012470971;4.10%;-3%;11.80%;0.263153559;Stable;Stable;STOC;autre;Incertain
Canard colvert;Canard colvert;2014;2023;-0.00174675;0.009497302;-0.020361461;0.016867961;0.998254775;0.979844434;1.017011029;-1.60%;-16.70%;16.40%;0.854075724;Stable;Stable;STOC;autre;Incertain
Canard colvert;Canard colvert;2014;2023;-0.050786495;0.040606757;-0.130375738;0.028802748;0.950481582;0.877765559;1.029221559;-36.70%;-69.10%;29.60%;0.211047327;Incertain;Incertain;ODJ;autre;Incertain
Chardonneret Ã©lÃ©gant;Chardonneret Ã©lÃ©gant;2014;2023;0.023382458;0.004936507;0.013706905;0.033058011;1.023657971;1.013801275;1.033610498;23.40%;13.10%;34.70%;2.17E-06;Augmentation modérée;Augmentation modérée;STOC;odj;Different
Chardonneret Ã©lÃ©gant;Chardonneret Ã©lÃ©gant;2014;2023;0.007666514;0.005941864;-0.00397954;0.019312567;1.007695977;0.996028368;1.019500261;7.10%;-3.50%;19%;0.196962483;Stable;Stable;ODJ;odj;Different
Choucas des tours;Choucas des tours;2014;2023;0.063769931;0.013484595;0.037340124;0.090199737;1.065847152;1.038046025;1.094392852;77.50%;39.90%;125.20%;2.26E-06;Augmentation forte;Augmentation modÃ©rÃ©e;ODJ;odj;Similaire
Choucas des tours;Choucas des tours;2014;2023;0.061975573;0.014926512;0.032719609;0.091231537;1.063936356;1.033260782;1.09552263;74.70%;34.20%;127.30%;3.30E-05;Augmentation forte;Augmentation modérée;STOC;odj;Similaire
