",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"1,""Ouette d'Egypte"",""ALOAEG"",2014,2023,0.45647891204006,0.111443806790549,0.238049050730584,0.674908773349536,1.57850612936552,1.26877142546398,1.96385381199244,""+5984.4%"",""+752%"",""+43349.3%"",4.2026722356005e-05,""Augmentation forte"",""Forte augmentation"""
"2,""Elanion blanc"",""ELACAE"",2014,2023,0.332225862631283,0.0745543271852959,0.186099381348103,0.478352343914463,1.39406768075132,1.20454196343358,1.61341385980077,""+1888.6%"",""+433.8%"",""+7308.2%"",8.34415389298907e-06,""Augmentation forte"",""Forte augmentation"""
"3,""Héron garde-boeufs"",""BUBIBI"",2014,2023,0.277306647063524,0.040470584306377,0.197984301823025,0.356628992304023,1.31957095155748,1.21894325848445,1.42850578488721,""+1113.1%"",""+494.1%"",""+2377.1%"",7.2796838098069e-12,""Augmentation forte"",""Forte augmentation"""
"4,""Milan royal"",""MILMIL"",2014,2023,0.264402542762428,0.0343700199508152,0.19703730365883,0.331767781866026,1.30265246409509,1.21778946786144,1.39342923140315,""+980.1%"",""+489%"",""+1880.5%"",1.43921501329122e-14,""Augmentation forte"",""Forte augmentation"""
"5,""Vautour fauve"",""GYPFUL"",2014,2023,0.23543621115008,0.072629174578056,0.0930830289770901,0.37778939332307,1.26546065640267,1.09755286017631,1.45905562365884,""+732.2%"",""+131.1%"",""+2896.7%"",0.00118852233766809,""Augmentation forte"",""Forte augmentation"""
"6,""Goéland leucophée"",""LARMIC"",2014,2023,0.195974481960381,0.0453118312658028,0.107163292679408,0.284785671241355,1.21649586234863,1.11311600333447,1.32947705241703,""+483.4%"",""+162.3%"",""+1197.6%"",1.52519467202412e-05,""Augmentation forte"",""Forte augmentation"""
"7,""Grive sp"",""GRIVES"",2014,2023,0.188267800049632,0.0601599899083298,0.0703542198293052,0.306181380269958,1.20715674870394,1.07288815221176,1.3582286400846,""+444.3%"",""+88.4%"",""+1473.1%"",0.00175132689778719,""Augmentation forte"",""Forte augmentation"""
"8,""Perruche à collier"",""PSIKRA"",2014,2023,0.177486150741454,0.04460798648306,0.0900544972346562,0.264917804248251,1.19421151884385,1.09423391480275,1.30332384369242,""+394%"",""+124.9%"",""+985.1%"",6.92646657036738e-05,""Augmentation forte"",""Forte augmentation"""
"9,""Grue cendrée"",""GRUGRU"",2014,2023,0.171600945711301,0.0767913097203029,0.0210899786595069,0.322111912763094,1.18720397983387,1.02131394396291,1.38003921131676,""+368.5%"",""+20.9%"",""+1715.6%"",0.0254409811523492,""Augmentation modérée à forte"",""Augmentation modérée"""
"10,""Grimpereau des bois"",""CERFAM"",2014,2023,0.162990601499659,0.0683520114763907,0.0290206590059332,0.296960543993385,1.17702562736072,1.02944586158361,1.34576219999829,""+333.6%"",""+29.8%"",""+1347.8%"",0.017098791715384,""Augmentation modérée à forte"",""Augmentation modérée"""
